               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10533,             0.03838,                   0,             0.64145,             0.33091,             0.35768,             0.13687,            0.074981,            0.033429,                   0,            0.070009,           0.0033323,           0.0033323
                   1,            0.081006,            0.041914,                   0,             0.72934,             0.39588,             0.44671,             0.19633,            0.067363,            0.032933,                   0,            0.039877,           0.0065337,           0.0065337
                   2,            0.076446,            0.041387,                   0,             0.75136,             0.41881,             0.47537,             0.21704,            0.064949,            0.032904,                   0,           0.0096133,            0.009603,            0.009603
                   3,            0.072458,            0.040594,                   0,             0.77038,             0.44525,              0.5064,             0.23598,            0.062032,            0.032598,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.069795,              0.0409,                   0,             0.78594,             0.46235,             0.52497,             0.24935,            0.060811,            0.032116,                   0,            0.009406,            0.009406,            0.009406
                   5,            0.067984,            0.041174,                   0,             0.79681,             0.47495,             0.54185,             0.26026,            0.059622,            0.032115,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.066642,            0.040114,                   0,             0.80067,             0.48635,             0.55037,             0.26502,            0.058717,            0.032061,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.066417,             0.04128,                   0,             0.80178,             0.49164,             0.55802,             0.27384,            0.057919,            0.031966,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.065281,            0.039346,                   0,             0.80026,              0.4936,             0.56199,             0.27535,            0.057624,            0.032048,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.064629,            0.039292,                   0,             0.80549,             0.50161,             0.56795,             0.27751,            0.057194,             0.03175,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.064581,            0.040028,                   0,             0.81043,             0.50668,             0.57376,             0.28164,            0.056727,            0.031499,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.064246,            0.039299,                   0,             0.81071,             0.50916,             0.57706,             0.28363,              0.0565,            0.031669,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.064196,            0.040281,                   0,             0.81914,             0.51121,             0.57974,             0.28561,            0.056164,            0.031504,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.06346,            0.039521,                   0,             0.80961,             0.51669,             0.58374,               0.289,            0.055801,            0.031546,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.063073,            0.039079,                   0,             0.81851,             0.52423,             0.59194,             0.29594,            0.055445,            0.031495,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.062789,            0.039142,                   0,                0.82,             0.52537,             0.59423,             0.29752,            0.055227,            0.031255,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.062558,            0.039422,                   0,             0.82064,             0.52439,             0.59209,             0.29568,            0.054978,             0.03132,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.062005,            0.038752,                   0,             0.82305,             0.52881,             0.59672,             0.29784,            0.054883,            0.031188,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.061932,            0.039142,                   0,             0.82169,             0.52967,             0.59934,             0.30144,            0.054488,            0.031165,                   0,            0.006634,            0.006634,            0.006634
                  19,              0.0618,            0.038906,                   0,             0.82639,             0.53403,             0.60402,             0.30445,            0.054338,            0.031118,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.061594,            0.039208,                   0,              0.8274,             0.53362,             0.60393,             0.30433,            0.054131,            0.031015,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.061379,            0.038917,                   0,             0.82765,             0.53852,              0.6091,             0.30785,            0.053956,            0.030959,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.061208,            0.038955,                   0,             0.82803,             0.53877,             0.60869,             0.30708,            0.053877,            0.030856,                   0,            0.005842,            0.005842,            0.005842
                  23,             0.06095,            0.038636,                   0,             0.82752,             0.53992,             0.61046,             0.30891,            0.053694,            0.030781,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.060588,             0.03846,                   0,             0.82769,             0.54404,             0.61384,             0.31249,            0.053405,            0.030843,                   0,            0.005446,            0.005446,            0.005446
                  25,            0.060158,            0.037807,                   0,             0.82895,             0.54494,             0.61543,             0.31323,            0.053293,            0.030741,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.060967,            0.038972,                   0,              0.8288,             0.54819,             0.61762,             0.31422,            0.053225,             0.03078,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.060315,            0.039074,                   0,             0.82925,             0.54601,              0.6171,             0.31499,            0.053092,            0.030762,                   0,            0.004852,            0.004852,            0.004852
