                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6703,                 1.0228,                 1.1732,                0.80677,                0.53508,                0.61579,                0.32292,                 1.4565,                0.73954,                 1.0799,              0.0033323,              0.0033323,              0.0033323
                      1,                 1.5496,                0.84834,                 1.0737,                0.80666,                 0.5401,                0.61884,                 0.3255,                 1.4362,                0.72725,                 1.0813,              0.0065337,              0.0065337,              0.0065337
                      2,                 1.5698,                0.89807,                 1.0936,                0.79732,                0.51101,                 0.5834,                0.29823,                 1.4902,                0.77009,                 1.1092,               0.009603,               0.009603,               0.009603
                      3,                 1.6001,                0.93336,                 1.1042,                0.80988,                0.51128,                0.58971,                0.30321,                 1.4839,                0.77042,                  1.097,               0.009406,               0.009406,               0.009406
                      4,                 1.5619,                0.87896,                 1.0931,                 0.8114,                0.53779,                0.61233,                0.31864,                  1.442,                0.73874,                 1.0929,               0.009406,               0.009406,               0.009406
                      5,                 1.5394,                0.85425,                 1.0872,                 0.8223,                0.53971,                0.61627,                0.31876,                 1.4344,                0.73047,                 1.0878,               0.009208,               0.009208,               0.009208
                      6,                 1.5137,                0.82757,                 1.0777,                 0.8244,                0.55588,                0.63418,                0.33627,                 1.3902,                 0.7007,                 1.0764,                0.00901,                0.00901,                0.00901
                      7,                 1.4898,                0.80398,                 1.0713,                0.83089,                0.56133,                0.64017,                 0.3419,                 1.3846,                0.67887,                 1.0606,               0.008812,               0.008812,               0.008812
                      8,                 1.4796,                0.78739,                 1.0664,                0.83431,                0.57344,                 0.6528,                0.35374,                 1.3573,                 0.6504,                 1.0604,               0.008614,               0.008614,               0.008614
                      9,                 1.4675,                0.77262,                 1.0656,                0.83903,                0.57076,                0.65275,                0.35293,                 1.3573,                 0.6536,                 1.0633,               0.008416,               0.008416,               0.008416
                     10,                 1.4627,                0.76312,                 1.0569,                0.84422,                 0.5786,                 0.6603,                0.35211,                  1.363,                0.64666,                 1.0542,               0.008218,               0.008218,               0.008218
                     11,                 1.4478,                0.75177,                  1.059,                0.84339,                0.59083,                0.67082,                0.36387,                 1.3375,                0.63209,                 1.0551,                0.00802,                0.00802,                0.00802
                     12,                  1.436,                0.74357,                 1.0553,                0.84737,                0.58355,                0.66607,                0.36154,                 1.3292,                0.62388,                 1.0443,               0.007822,               0.007822,               0.007822
                     13,                 1.4292,                0.73364,                 1.0493,                0.84805,                0.59226,                0.67279,                0.36591,                 1.3272,                0.61701,                 1.0427,               0.007624,               0.007624,               0.007624
                     14,                  1.422,                0.72068,                 1.0444,                0.85218,                0.59621,                0.68023,                0.37243,                 1.3238,                0.60713,                  1.042,               0.007426,               0.007426,               0.007426
                     15,                 1.4151,                0.71883,                 1.0414,                0.85251,                0.59837,                0.68082,                0.37543,                  1.308,                0.59475,                 1.0396,               0.007228,               0.007228,               0.007228
                     16,                 1.4028,                0.71057,                 1.0417,                0.85432,                0.60081,                0.68326,                0.37363,                  1.306,                0.59588,                  1.032,                0.00703,                0.00703,                0.00703
                     17,                 1.4047,                0.70146,                 1.0386,                0.84809,                0.60554,                0.68444,                0.37541,                 1.3051,                0.59217,                 1.0356,               0.006832,               0.006832,               0.006832
                     18,                 1.3928,                0.69492,                 1.0362,                0.85346,                0.60725,                0.68944,                0.38047,                 1.2862,                0.58038,                 1.0266,               0.006634,               0.006634,               0.006634
                     19,                 1.3891,                0.69031,                 1.0332,                0.85839,                0.60942,                  0.693,                0.38471,                 1.2843,                0.57282,                 1.0236,               0.006436,               0.006436,               0.006436
                     20,                 1.3863,                0.68859,                 1.0274,                0.85528,                0.60831,                0.69042,                0.38117,                 1.2842,                0.56784,                 1.0271,               0.006238,               0.006238,               0.006238
                     21,                 1.3759,                0.67509,                 1.0327,                0.85415,                 0.6147,                0.69703,                0.38923,                 1.2736,                0.56263,                 1.0251,                0.00604,                0.00604,                0.00604
                     22,                 1.3658,                0.67149,                 1.0253,                0.85996,                0.61682,                0.69893,                0.38823,                 1.2665,                0.55972,                 1.0165,               0.005842,               0.005842,               0.005842
                     23,                  1.364,                0.66603,                 1.0249,                0.86058,                0.62175,                0.70517,                0.39515,                 1.2569,                0.55117,                 1.0169,               0.005644,               0.005644,               0.005644
                     24,                 1.3643,                0.66404,                 1.0216,                0.86384,                0.62085,                0.70503,                0.39496,                 1.2587,                 0.5479,                 1.0112,               0.005446,               0.005446,               0.005446
                     25,                 1.3595,                0.66025,                 1.0196,                0.86089,                0.62339,                0.70557,                0.39401,                 1.2564,                0.54618,                  1.013,               0.005248,               0.005248,               0.005248
                     26,                 1.3549,                0.65399,                 1.0199,                0.86334,                0.62541,                0.70763,                0.39584,                 1.2508,                0.54115,                 1.0058,                0.00505,                0.00505,                0.00505
                     27,                 1.3418,                0.64481,                 1.0168,                0.86069,                0.62638,                0.70856,                0.39729,                 1.2434,                0.53638,                 1.0029,               0.004852,               0.004852,               0.004852
                     28,                 1.3475,                0.64357,                 1.0127,                0.86479,                 0.6302,                0.71315,                0.40303,                 1.2346,                0.53019,                 1.0021,               0.004654,               0.004654,               0.004654
                     29,                 1.3408,                0.64229,                 1.0129,                0.86631,                0.63095,                0.71459,                0.40397,                 1.2307,                0.52677,                0.99698,               0.004456,               0.004456,               0.004456
                     30,                 1.3293,                0.63313,                 1.0078,                0.86332,                0.63429,                0.71673,                0.40478,                 1.2278,                0.52479,                0.99752,               0.004258,               0.004258,               0.004258
                     31,                 1.3237,                 0.6293,                 1.0088,                0.86462,                0.63484,                0.71627,                0.40629,                 1.2185,                0.52142,                0.99358,                0.00406,                0.00406,                0.00406
                     32,                   1.32,                0.62323,                 1.0091,                0.86802,                0.63535,                0.71994,                0.40894,                 1.2154,                0.51612,                0.99203,               0.003862,               0.003862,               0.003862
                     33,                 1.3185,                 0.6213,                  1.007,                0.86824,                0.63913,                0.72242,                0.41176,                 1.2095,                 0.5127,                0.98989,               0.003664,               0.003664,               0.003664
                     34,                  1.311,                0.61419,                 1.0029,                0.86552,                0.64276,                0.72404,                0.41228,                 1.2059,                0.50887,                0.98481,               0.003466,               0.003466,               0.003466
                     35,                 1.2985,                0.60512,                0.99638,                0.86712,                0.63958,                0.72231,                0.41151,                 1.2041,                 0.5052,                0.98096,               0.003268,               0.003268,               0.003268
